valor,tipo,data,categoria,descricao
-1149.16,1,"""2025-04-08T21:38:32.094859Z""","""Venda""","""Referente ao mês"""
8077.23,2,"""2025-05-28T21:38:32.094879Z""","""Pagamento""","""Referente ao mês"""
4342.67,2,"""2025-03-12T21:38:32.094896Z""","""Transferência""","""Compra de material"""
8433.81,2,"""2025-03-26T21:38:32.094912Z""","""Compra""","""Pagamento de serviço"""
-6661.31,1,"""2025-03-01T21:38:32.094926Z""","""Investimento""","""Pagamento de serviço"""
8678.02,2,"""2025-05-28T21:38:32.094939Z""","""Compra""","""Compra de material"""
-1763.22,1,"""2025-05-02T21:38:32.094952Z""","""Investimento""","""Transferência bancária"""
-9845.17,1,"""2025-04-04T21:38:32.094965Z""","""Transferência""","""Despesa operacional"""
567.8,2,"""2025-05-27T21:38:32.094978Z""","""Serviço""","""Despesa operacional"""
2715.55,2,"""2025-05-05T21:38:32.094991Z""","""Reembolso""","""Pagamento de serviço"""
4311.29,2,"""2025-05-27T21:38:32.095005Z""","""Salário""","""Recebido de cliente"""
-3703.79,1,"""2025-04-17T21:38:32.095018Z""","""Salário""","""Pagamento de serviço"""
2007.47,2,"""2025-05-10T21:38:32.095035Z""","""Pagamento""","""Transferência bancária"""
-3531.85,1,"""2025-05-15T21:38:32.095048Z""","""Reembolso""","""Recebido de cliente"""
-7782.32,1,"""2025-05-01T21:38:32.095061Z""","""Venda""","""Recebido de cliente"""
-4200.87,1,"""2025-03-01T21:38:32.095075Z""","""Reembolso""","""Recebido de cliente"""
2508.61,2,"""2025-05-29T21:38:32.095436Z""","""Venda""","""Transferência bancária"""
8102.37,2,"""2025-03-22T21:38:32.095478Z""","""Serviço""","""Despesa operacional"""
2979.09,2,"""2025-05-28T21:38:32.095492Z""","""Investimento""","""Pagamento de serviço"""
9985.64,2,"""2025-04-06T21:38:32.095503Z""","""Venda""","""Despesa operacional"""
7492.68,2,"""2025-04-17T21:38:32.095512Z""","""Transferência""","""Referente ao mês"""
-2966.97,1,"""2025-04-03T21:38:32.095522Z""","""Reembolso""","""Recebido de cliente"""
-314.27,1,"""2025-04-09T21:38:32.095531Z""","""Salário""","""Recebido de cliente"""
-1212.36,1,"""2025-05-01T21:38:32.095541Z""","""Salário""","""Transferência bancária"""
-1707.49,1,"""2025-04-22T21:38:32.095557Z""","""Compra""","""Recebido de cliente"""
3432.36,2,"""2025-04-27T21:38:32.095573Z""","""Salário""","""Referente ao mês"""
9650.24,2,"""2025-05-08T21:38:32.095582Z""","""Salário""","""Despesa operacional"""
6908.17,2,"""2025-04-16T21:38:32.095591Z""","""Pagamento""","""Referente ao mês"""
-8443.94,1,"""2025-04-18T21:38:32.095600Z""","""Salário""","""Transferência bancária"""
-1095.02,1,"""2025-05-02T21:38:32.095609Z""","""Investimento""","""Pagamento de serviço"""
-4839.53,1,"""2025-05-08T21:38:32.095618Z""","""Compra""","""Referente ao mês"""
6047.76,2,"""2025-03-20T21:38:32.095627Z""","""Transferência""","""Pagamento de serviço"""
1738.79,2,"""2025-05-08T21:38:32.095636Z""","""Compra""","""Transferência bancária"""
-7637.42,1,"""2025-04-22T21:38:32.095645Z""","""Venda""","""Despesa operacional"""
-4116.12,1,"""2025-05-02T21:38:32.095653Z""","""Reembolso""","""Recebido de cliente"""
2612.37,2,"""2025-03-18T21:38:32.095662Z""","""Reembolso""","""Pagamento de serviço"""
2485.64,2,"""2025-04-20T21:38:32.095671Z""","""Transferência""","""Transferência bancária"""
-3572.01,1,"""2025-05-21T21:38:32.095680Z""","""Venda""","""Transferência bancária"""
-4516.24,1,"""2025-03-02T21:38:32.095688Z""","""Venda""","""Transferência bancária"""
1770.15,2,"""2025-04-07T21:38:32.095697Z""","""Pagamento""","""Pagamento de serviço"""
3773.55,2,"""2025-04-12T21:38:32.095706Z""","""Reembolso""","""Compra de material"""
3318.8,2,"""2025-03-07T21:38:32.095715Z""","""Serviço""","""Pagamento de serviço"""
-3698.49,1,"""2025-04-04T21:38:32.095723Z""","""Reembolso""","""Pagamento de serviço"""
-9648.84,1,"""2025-05-17T21:38:32.095732Z""","""Compra""","""Transferência bancária"""
-2407.77,1,"""2025-05-27T21:38:32.095741Z""","""Investimento""","""Transferência bancária"""
-543.47,1,"""2025-04-05T21:38:32.095750Z""","""Transferência""","""Recebido de cliente"""
2270.86,2,"""2025-04-22T21:38:32.095759Z""","""Pagamento""","""Transferência bancária"""
-7346.67,1,"""2025-04-30T21:38:32.095768Z""","""Serviço""","""Recebido de cliente"""
-2825.73,1,"""2025-05-19T21:38:32.095784Z""","""Serviço""","""Despesa operacional"""
1761.06,2,"""2025-04-29T21:38:32.095799Z""","""Transferência""","""Transferência bancária"""
-498.9,1,"""2025-03-18T21:38:32.095813Z""","""Salário""","""Referente ao mês"""
3932.86,2,"""2025-04-06T21:38:32.095838Z""","""Venda""","""Recebido de cliente"""
-3560.38,1,"""2025-05-14T21:38:32.095853Z""","""Compra""","""Transferência bancária"""
725.72,2,"""2025-03-17T21:38:32.095863Z""","""Pagamento""","""Transferência bancária"""
-6212.14,1,"""2025-05-08T21:38:32.095872Z""","""Pagamento""","""Compra de material"""
-1108.13,1,"""2025-05-09T21:38:32.095887Z""","""Investimento""","""Despesa operacional"""
-1039.95,1,"""2025-04-21T21:38:32.095902Z""","""Reembolso""","""Referente ao mês"""
2452.0,2,"""2025-05-22T21:38:32.095915Z""","""Transferência""","""Recebido de cliente"""
7175.23,2,"""2025-05-29T21:38:32.095925Z""","""Compra""","""Compra de material"""
-9330.76,1,"""2025-03-10T21:38:32.095933Z""","""Salário""","""Referente ao mês"""
1839.89,2,"""2025-04-17T21:38:32.095943Z""","""Pagamento""","""Compra de material"""
-2340.7,1,"""2025-05-26T21:38:32.095953Z""","""Reembolso""","""Despesa operacional"""
3524.78,2,"""2025-03-10T21:38:32.095967Z""","""Investimento""","""Despesa operacional"""
-8269.96,1,"""2025-05-06T21:38:32.095982Z""","""Serviço""","""Pagamento de serviço"""
-5453.07,1,"""2025-04-02T21:38:32.095993Z""","""Venda""","""Recebido de cliente"""
245.17,2,"""2025-05-14T21:38:32.096002Z""","""Serviço""","""Pagamento de serviço"""
332.04,2,"""2025-05-10T21:38:32.096011Z""","""Serviço""","""Compra de material"""
-4377.54,1,"""2025-03-29T21:38:32.096026Z""","""Salário""","""Pagamento de serviço"""
2462.67,2,"""2025-03-10T21:38:32.096042Z""","""Venda""","""Despesa operacional"""
2537.72,2,"""2025-03-10T21:38:32.096055Z""","""Pagamento""","""Transferência bancária"""
9409.12,2,"""2025-05-14T21:38:32.096064Z""","""Serviço""","""Referente ao mês"""
-9039.47,1,"""2025-04-22T21:38:32.096073Z""","""Serviço""","""Compra de material"""
9859.15,2,"""2025-04-05T21:38:32.096091Z""","""Investimento""","""Recebido de cliente"""
1376.39,2,"""2025-05-12T21:38:32.096104Z""","""Salário""","""Recebido de cliente"""
-1189.07,1,"""2025-03-30T21:38:32.096119Z""","""Pagamento""","""Despesa operacional"""
-5300.01,1,"""2025-03-28T21:38:32.096134Z""","""Reembolso""","""Transferência bancária"""
-7133.71,1,"""2025-03-10T21:38:32.096149Z""","""Salário""","""Despesa operacional"""
5427.32,2,"""2025-04-24T21:38:32.096181Z""","""Venda""","""Transferência bancária"""
8861.46,2,"""2025-03-04T21:38:32.096196Z""","""Compra""","""Compra de material"""
-4976.56,1,"""2025-04-30T21:38:32.096210Z""","""Reembolso""","""Transferência bancária"""
-2061.95,1,"""2025-04-18T21:38:32.096219Z""","""Investimento""","""Recebido de cliente"""
8671.1,2,"""2025-05-26T21:38:32.096228Z""","""Transferência""","""Referente ao mês"""
2841.57,2,"""2025-03-24T21:38:32.096237Z""","""Transferência""","""Compra de material"""
-1039.93,1,"""2025-04-19T21:38:32.096246Z""","""Salário""","""Pagamento de serviço"""
1370.09,2,"""2025-04-24T21:38:32.096255Z""","""Transferência""","""Recebido de cliente"""
-3127.21,1,"""2025-04-22T21:38:32.096264Z""","""Venda""","""Recebido de cliente"""
-5027.13,1,"""2025-04-30T21:38:32.096273Z""","""Serviço""","""Compra de material"""
-2840.27,1,"""2025-04-02T21:38:32.096282Z""","""Investimento""","""Recebido de cliente"""
-2087.51,1,"""2025-04-12T21:38:32.096291Z""","""Venda""","""Recebido de cliente"""
6940.15,2,"""2025-03-01T21:38:32.096299Z""","""Transferência""","""Despesa operacional"""
-6390.16,1,"""2025-04-04T21:38:32.096308Z""","""Reembolso""","""Compra de material"""
667.5,2,"""2025-03-11T21:38:32.096317Z""","""Reembolso""","""Compra de material"""
-6741.26,1,"""2025-03-06T21:38:32.096326Z""","""Reembolso""","""Despesa operacional"""
-4366.16,1,"""2025-03-30T21:38:32.096334Z""","""Compra""","""Referente ao mês"""
-2637.85,1,"""2025-04-11T21:38:32.096344Z""","""Investimento""","""Transferência bancária"""
3786.16,2,"""2025-05-29T21:38:32.096359Z""","""Investimento""","""Referente ao mês"""
2134.28,2,"""2025-05-30T21:38:32.096373Z""","""Venda""","""Compra de material"""
-8506.59,1,"""2025-04-18T21:38:32.096394Z""","""Serviço""","""Despesa operacional"""
-1277.57,1,"""2025-04-18T21:38:32.096404Z""","""Pagamento""","""Pagamento de serviço"""
-9049.37,1,"""2025-04-18T21:38:32.096413Z""","""Compra""","""Despesa operacional"""
-5184.57,1,"""2025-04-27T21:38:32.096421Z""","""Salário""","""Referente ao mês"""
-794.51,1,"""2025-05-17T21:38:32.096430Z""","""Compra""","""Compra de material"""
-7984.77,1,"""2025-03-15T21:38:32.096439Z""","""Pagamento""","""Recebido de cliente"""
7001.92,2,"""2025-05-20T21:38:32.096447Z""","""Compra""","""Pagamento de serviço"""
4672.88,2,"""2025-03-16T21:38:32.096456Z""","""Venda""","""Transferência bancária"""
-4505.72,1,"""2025-05-12T21:38:32.096464Z""","""Investimento""","""Pagamento de serviço"""
-1290.91,1,"""2025-03-20T21:38:32.096473Z""","""Investimento""","""Compra de material"""
-4539.75,1,"""2025-05-24T21:38:32.096482Z""","""Pagamento""","""Despesa operacional"""
5994.86,2,"""2025-05-09T21:38:32.096599Z""","""Compra""","""Pagamento de serviço"""
929.17,2,"""2025-04-12T21:38:32.096613Z""","""Pagamento""","""Pagamento de serviço"""
1829.04,2,"""2025-05-03T21:38:32.096629Z""","""Pagamento""","""Despesa operacional"""
-727.18,1,"""2025-03-23T21:38:32.096643Z""","""Reembolso""","""Despesa operacional"""
3826.88,2,"""2025-03-27T21:38:32.096658Z""","""Pagamento""","""Despesa operacional"""
6242.58,2,"""2025-03-15T21:38:32.096672Z""","""Serviço""","""Referente ao mês"""
2668.36,2,"""2025-03-17T21:38:32.096686Z""","""Salário""","""Referente ao mês"""
-2382.44,1,"""2025-04-30T21:38:32.096700Z""","""Investimento""","""Pagamento de serviço"""
1430.83,2,"""2025-03-16T21:38:32.096715Z""","""Pagamento""","""Recebido de cliente"""
9666.83,2,"""2025-04-27T21:38:32.096731Z""","""Pagamento""","""Transferência bancária"""
3677.84,2,"""2025-05-16T21:38:32.096747Z""","""Venda""","""Recebido de cliente"""
-8769.57,1,"""2025-03-11T21:38:32.096762Z""","""Compra""","""Pagamento de serviço"""
3911.19,2,"""2025-03-25T21:38:32.096778Z""","""Investimento""","""Despesa operacional"""
1021.16,2,"""2025-04-26T21:38:32.096792Z""","""Venda""","""Pagamento de serviço"""
-3727.61,1,"""2025-03-17T21:38:32.096807Z""","""Venda""","""Pagamento de serviço"""
2085.2,2,"""2025-04-11T21:38:32.096821Z""","""Reembolso""","""Recebido de cliente"""
7979.44,2,"""2025-04-23T21:38:32.096835Z""","""Reembolso""","""Recebido de cliente"""
-3360.23,1,"""2025-03-22T21:38:32.096851Z""","""Compra""","""Despesa operacional"""
2184.47,2,"""2025-04-28T21:38:32.096865Z""","""Pagamento""","""Transferência bancária"""
7802.99,2,"""2025-03-09T21:38:32.096879Z""","""Compra""","""Pagamento de serviço"""
429.82,2,"""2025-03-17T21:38:32.096894Z""","""Pagamento""","""Recebido de cliente"""
-6574.44,1,"""2025-05-24T21:38:32.096907Z""","""Serviço""","""Recebido de cliente"""
-5758.53,1,"""2025-03-13T21:38:32.096922Z""","""Serviço""","""Pagamento de serviço"""
-4310.82,1,"""2025-05-05T21:38:32.096935Z""","""Transferência""","""Despesa operacional"""
7828.76,2,"""2025-04-25T21:38:32.096944Z""","""Compra""","""Compra de material"""
-9312.39,1,"""2025-05-29T21:38:32.096954Z""","""Serviço""","""Transferência bancária"""
5363.73,2,"""2025-04-20T21:38:32.096969Z""","""Pagamento""","""Despesa operacional"""
5524.39,2,"""2025-03-16T21:38:32.096984Z""","""Salário""","""Compra de material"""
-518.0,1,"""2025-05-30T21:38:32.096998Z""","""Investimento""","""Transferência bancária"""
-4065.91,1,"""2025-05-25T21:38:32.097007Z""","""Reembolso""","""Pagamento de serviço"""
3805.13,2,"""2025-04-26T21:38:32.097016Z""","""Salário""","""Transferência bancária"""
6844.88,2,"""2025-03-27T21:38:32.097025Z""","""Serviço""","""Compra de material"""
3029.3,2,"""2025-05-02T21:38:32.097039Z""","""Transferência""","""Despesa operacional"""
8052.91,2,"""2025-05-08T21:38:32.097061Z""","""Reembolso""","""Transferência bancária"""
-2884.17,1,"""2025-05-02T21:38:32.097073Z""","""Salário""","""Despesa operacional"""
5322.19,2,"""2025-03-28T21:38:32.097082Z""","""Salário""","""Transferência bancária"""
-3778.59,1,"""2025-03-18T21:38:32.097094Z""","""Investimento""","""Recebido de cliente"""
8019.95,2,"""2025-04-24T21:38:32.097109Z""","""Pagamento""","""Referente ao mês"""
-466.32,1,"""2025-03-26T21:38:32.097123Z""","""Pagamento""","""Recebido de cliente"""
-8817.25,1,"""2025-04-30T21:38:32.097136Z""","""Reembolso""","""Referente ao mês"""
-3586.87,1,"""2025-05-28T21:38:32.097151Z""","""Salário""","""Compra de material"""
8118.05,2,"""2025-05-18T21:38:32.097166Z""","""Salário""","""Despesa operacional"""
-4275.99,1,"""2025-03-04T21:38:32.097180Z""","""Transferência""","""Pagamento de serviço"""
8274.58,2,"""2025-05-18T21:38:32.097196Z""","""Salário""","""Transferência bancária"""
7467.17,2,"""2025-04-19T21:38:32.097212Z""","""Venda""","""Pagamento de serviço"""
3804.98,2,"""2025-03-15T21:38:32.097223Z""","""Serviço""","""Pagamento de serviço"""
-8468.35,1,"""2025-04-21T21:38:32.097232Z""","""Compra""","""Recebido de cliente"""
-3937.61,1,"""2025-03-18T21:38:32.097241Z""","""Serviço""","""Pagamento de serviço"""
1440.37,2,"""2025-05-25T21:38:32.097253Z""","""Compra""","""Referente ao mês"""
826.34,2,"""2025-04-20T21:38:32.097268Z""","""Venda""","""Referente ao mês"""
7095.54,2,"""2025-04-05T21:38:32.097285Z""","""Investimento""","""Referente ao mês"""
-535.09,1,"""2025-05-25T21:38:32.097294Z""","""Reembolso""","""Pagamento de serviço"""
214.23,2,"""2025-04-19T21:38:32.097302Z""","""Investimento""","""Referente ao mês"""
3917.0,2,"""2025-05-28T21:38:32.097312Z""","""Pagamento""","""Recebido de cliente"""
-9631.88,1,"""2025-05-19T21:38:32.097320Z""","""Pagamento""","""Pagamento de serviço"""
-2479.15,1,"""2025-04-03T21:38:32.097329Z""","""Transferência""","""Pagamento de serviço"""
-3672.73,1,"""2025-05-30T21:38:32.097338Z""","""Venda""","""Pagamento de serviço"""
3817.71,2,"""2025-04-06T21:38:32.097346Z""","""Pagamento""","""Referente ao mês"""
-2352.36,1,"""2025-03-23T21:38:32.097355Z""","""Pagamento""","""Despesa operacional"""
-9161.14,1,"""2025-04-03T21:38:32.097364Z""","""Serviço""","""Compra de material"""
384.02,2,"""2025-04-17T21:38:32.097372Z""","""Salário""","""Despesa operacional"""
9474.73,2,"""2025-04-28T21:38:32.097381Z""","""Pagamento""","""Pagamento de serviço"""
-2914.26,1,"""2025-04-02T21:38:32.097390Z""","""Reembolso""","""Compra de material"""
8138.81,2,"""2025-03-11T21:38:32.097398Z""","""Transferência""","""Pagamento de serviço"""
3776.69,2,"""2025-03-23T21:38:32.097407Z""","""Salário""","""Transferência bancária"""
-342.02,1,"""2025-05-01T21:38:32.097417Z""","""Salário""","""Despesa operacional"""
-4215.28,1,"""2025-04-27T21:38:32.097428Z""","""Compra""","""Despesa operacional"""
3466.62,2,"""2025-05-15T21:38:32.097442Z""","""Compra""","""Transferência bancária"""
-3821.45,1,"""2025-04-09T21:38:32.097458Z""","""Transferência""","""Transferência bancária"""
-2571.44,1,"""2025-04-13T21:38:32.097481Z""","""Compra""","""Despesa operacional"""
1299.6,2,"""2025-04-01T21:38:32.097491Z""","""Investimento""","""Compra de material"""
8337.03,2,"""2025-03-04T21:38:32.097500Z""","""Compra""","""Compra de material"""
1429.25,2,"""2025-05-10T21:38:32.097509Z""","""Serviço""","""Despesa operacional"""
-4318.51,1,"""2025-05-28T21:38:32.097518Z""","""Investimento""","""Despesa operacional"""
-3317.74,1,"""2025-05-07T21:38:32.097527Z""","""Pagamento""","""Pagamento de serviço"""
-4336.62,1,"""2025-03-28T21:38:32.097535Z""","""Compra""","""Pagamento de serviço"""
1371.06,2,"""2025-03-09T21:38:32.097544Z""","""Salário""","""Despesa operacional"""
6755.75,2,"""2025-03-29T21:38:32.097553Z""","""Serviço""","""Despesa operacional"""
-7659.71,1,"""2025-05-18T21:38:32.097565Z""","""Reembolso""","""Referente ao mês"""
4041.43,2,"""2025-03-19T21:38:32.097579Z""","""Investimento""","""Despesa operacional"""
1362.52,2,"""2025-05-07T21:38:32.097594Z""","""Investimento""","""Recebido de cliente"""
-2989.63,1,"""2025-05-16T21:38:32.097609Z""","""Transferência""","""Compra de material"""
7869.2,2,"""2025-03-01T21:38:32.097627Z""","""Investimento""","""Recebido de cliente"""
3297.99,2,"""2025-05-08T21:38:32.097636Z""","""Compra""","""Compra de material"""
9359.17,2,"""2025-03-22T21:38:32.097644Z""","""Serviço""","""Pagamento de serviço"""
1805.51,2,"""2025-04-05T21:38:32.097653Z""","""Pagamento""","""Transferência bancária"""
-4380.96,1,"""2025-04-14T21:38:32.097662Z""","""Reembolso""","""Despesa operacional"""
-3586.59,1,"""2025-04-08T21:38:32.097670Z""","""Serviço""","""Compra de material"""
-8735.15,1,"""2025-03-30T21:38:32.097679Z""","""Serviço""","""Compra de material"""
-4992.93,1,"""2025-03-20T21:38:32.097689Z""","""Compra""","""Recebido de cliente"""
-3155.56,1,"""2025-04-02T21:38:32.097697Z""","""Reembolso""","""Compra de material"""
-2690.15,1,"""2025-04-23T21:38:32.097706Z""","""Venda""","""Transferência bancária"""
-1174.65,1,"""2025-04-28T21:38:32.097719Z""","""Reembolso""","""Pagamento de serviço"""
8656.31,2,"""2025-03-07T21:38:32.097738Z""","""Compra""","""Pagamento de serviço"""
-5168.23,1,"""2025-03-30T21:38:32.097944Z""","""Compra""","""Pagamento de serviço"""
599.95,2,"""2025-03-13T21:38:32.097967Z""","""Compra""","""Despesa operacional"""
8414.05,2,"""2025-05-25T21:38:32.097977Z""","""Venda""","""Despesa operacional"""
3031.88,2,"""2025-05-15T21:38:32.097986Z""","""Transferência""","""Transferência bancária"""
-2248.5,1,"""2025-05-22T21:38:32.097995Z""","""Salário""","""Referente ao mês"""
-7839.61,1,"""2025-05-08T21:38:32.098004Z""","""Salário""","""Pagamento de serviço"""
2468.94,2,"""2025-03-29T21:38:32.098013Z""","""Transferência""","""Pagamento de serviço"""
-3995.7,1,"""2025-05-23T21:38:32.098023Z""","""Salário""","""Transferência bancária"""
-4139.4,1,"""2025-05-17T21:38:32.098031Z""","""Venda""","""Compra de material"""
9232.18,2,"""2025-05-27T21:38:32.098044Z""","""Venda""","""Pagamento de serviço"""
-4583.5,1,"""2025-05-18T21:38:32.098059Z""","""Pagamento""","""Pagamento de serviço"""
3450.42,2,"""2025-04-14T21:38:32.098080Z""","""Venda""","""Referente ao mês"""
-3424.71,1,"""2025-04-26T21:38:32.098089Z""","""Venda""","""Despesa operacional"""
-3448.58,1,"""2025-05-20T21:38:32.098098Z""","""Pagamento""","""Despesa operacional"""
-5499.1,1,"""2025-03-01T21:38:32.098108Z""","""Reembolso""","""Transferência bancária"""
-2675.18,1,"""2025-03-27T21:38:32.098123Z""","""Serviço""","""Despesa operacional"""
5341.27,2,"""2025-03-30T21:38:32.098138Z""","""Serviço""","""Recebido de cliente"""
8239.87,2,"""2025-03-06T21:38:32.098150Z""","""Investimento""","""Referente ao mês"""
-8909.91,1,"""2025-04-27T21:38:32.098159Z""","""Investimento""","""Transferência bancária"""
-9516.88,1,"""2025-04-07T21:38:32.098170Z""","""Reembolso""","""Transferência bancária"""
